Altium Designer Pick and Place Locations
C:\Users\Satyam.DESKTOP-S570OAU\OneDrive - Vylt Technologies Private Limited\Altium_Designs\SCOM_2_IN_1_JLC_STACKUP_PROD\Project Outputs for SCOM_2_IN_1_JLC_STACKUP_PROD\Pick Place\Pick Place for SCOM_2_IN_1_JLC_STACKUP_PROD(Sensor).csv

========================================================================================================================
File Design Information:

Date:       23-04-25
Time:       11:14
Revision:   23987925031db148c518edfd0303eb078668e2b8
Variant:    Sensor
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D8","TopLayer","132.0000","19.7500","180","LED CLEAR 1206 SMD"
"C49","TopLayer","56.5000","17.2500","90","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"U3","TopLayer","44.0880","63.7545","270","5A 180KHz 36V Buck DC to DC Converter"
"R21","TopLayer","50.5000","68.0000","90","RES_0603"
"R20","TopLayer","50.5000","64.5000","90","RES_0603"
"L2","TopLayer","46.7500","40.5000","90","IND_1212"
"D3","TopLayer","47.2500","50.7500","0",""
"C14","TopLayer","44.0000","18.2500","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C13","TopLayer","41.5000","18.2500","270","1uF 105 0805 (2012 metric) 50V X7R MLCC SMD"
"C12","TopLayer","46.7500","28.0000","0","Electrolytic Capacitor Through Hole D10 P5.0"
"C10","TopLayer","45.2500","72.5000","0","1uF 105 0805 (2012 metric) 50V X7R MLCC SMD"
"C9","TopLayer","40.1270","81.1230","90","Electrolytic Capacitor Through Hole D10 P5.0"
"C8","TopLayer","37.5000","67.7500","270","1uF 105 0805 (2012 metric) 50V X7R MLCC SMD"
"U7","TopLayer","65.5000","60.0000","90","AMS1117 LDO"
"TP7","TopLayer","60.5000","54.2500","90",""
"TP6","TopLayer","106.2500","39.5000","0",""
"C50","TopLayer","71.0000","61.2000","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C52","TopLayer","65.0000","51.7309","0","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C51","TopLayer","65.0000","54.0000","0","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"R22","TopLayer","60.7500","38.5000","90","RES_0603"
"C21","TopLayer","108.5960","36.0210","270","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density"
